_id,CODIGO,DENOMINACION_GENERICA_ES,DENOMINACION_GENERICA_VAL,DENOMINACION_ESPECIFICA,DENOMINACION,REGIMEN,TIPO_VIA,DIRECCION,NUMERO,CODIGO_POSTAL,LOCALIDAD,PROVINCIA,TELEFONO,FAX,COD_EDIFICACION,LONGITUD,LATITUD,TITULARIDAD,CIF,COMARCA,URL_ES,URL_VA
1,3000047,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP LA RAMBLA,CEIP LA RAMBLA,PÚB.,AVINGUDA,DE ALCOY,S/N,3698,AGOST,ALICANTE/ALACANT,966908135,,1,-0.635608,38.438389,GENERALITAT VALENCIANA,Q5355128I,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000047,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000047
2,3000060,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA,CENTRE PRIVAT LA MILAGROSA,CENTRE PRIVAT LA MILAGROSA,PRIV. CONC.,CARRER,JUAN XXIII,2,3698,AGOST,ALICANTE/ALACANT,965691143,,1,-0.637196,38.435035,PRIVADA.,R0300117I,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000060,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000060
3,3000096,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP MIRADOR D'AIGÜES,CEIP MIRADOR D'AIGÜES,PÚB.,AVINGUDA,DEL DOCTOR SAPENA,S/N,3569,AIGÜES,ALICANTE/ALACANT,966908140,,1,-0.365124,38.500573,GENERALITAT VALENCIANA,Q5355126C,L'ALACANTÍ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000096,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000096
4,3000138,COLEGIO DE EDUCACIÓN PRIMARIA,COL·LEGI D'EDUCACIÓ PRIMÀRIA,CEP VIRGEN DEL ROSARIO,CEP VIRGEN DEL ROSARIO,PÚB.,CARRER,CALVARIO,70,3340,ALBATERA,ALICANTE/ALACANT,966912020,,1,-0.875071,38.183887,GENERALITAT VALENCIANA,Q5355176H,EL BAIX SEGURA/LA VEGA BAJA,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000138,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000138
5,3000151,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP JESÚS SÁNCHEZ,CEIP JESÚS SÁNCHEZ,PÚB.,CARRER,SALVADOR,1,3349,SAN ISIDRO,ALICANTE/ALACANT,966912015,,1,-0.837016,38.17326,GENERALITAT VALENCIANA,Q5355315B,EL BAIX SEGURA/LA VEGA BAJA,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000151,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000151
6,3000230,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP EL ROMERAL,CEIP EL ROMERAL,PÚB.,CARRER,MESTRE RIBERA MONTÉS,10,3802,ALCOI,ALICANTE/ALACANT,966527820,,1,-0.487636,38.695844,GENERALITAT VALENCIANA,Q5355047A,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000230,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000230
7,3000266,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CEIP SAN VICENTE,CEIP SAN VICENTE,PÚB.,CARRER,SAN VICENTE,50,3801,ALCOI,ALICANTE/ALACANT,966527825,,1,-0.472831,38.690266,GENERALITAT VALENCIANA,Q5355109I,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000266,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000266
8,3000308,CENTRO DE EDUCACIÓN ESPECIAL,CENTRE D'EDUCACIÓ ESPECIAL,CEE PÚB. TOMÀS LLÀCER,CEE PÚB. TOMÀS LLÀCER,PÚB.,CARRER,PERIÓDICO CIUDAD,4,3801,ALCOI,ALICANTE/ALACANT,966527830,,1,-0.481172,38.70443,GENERALITAT VALENCIANA,Q5355174C,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000308,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000308
9,3000345,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT JOSÉ ARNAUDA,CENTRE PRIVAT JOSÉ ARNAUDA,PRIV. CONC.,CARRER,PADRE POVEDA,1,3804,ALCOI,ALICANTE/ALACANT,965330358,965333264,1,-0.470953,38.705883,PRIVADA.,R0300048F,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000345,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000345
10,3000357,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT LA PRESENTACIÓN,CENTRE PRIVAT LA PRESENTACIÓN,PRIV. CONC.,CARRER,PINTOR CASANOVA,22,3801,ALCOI,ALICANTE/ALACANT,965544702,965545623,1,-0.473228,38.699059,PRIVADA.,G87804688,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000357,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000357
11,3000382,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT ESCLAVES SCJ ALCOI,CENTRE PRIVAT ESCLAVES SCJ ALCOI,PRIV. CONC.,CARRER,ARZOBISPO DOMENECH,19,3804,ALCOI,ALICANTE/ALACANT,965520616,966522020,1,-0.464162,38.708344,PRIVADA.,G86621927,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000382,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000382
12,3000394,INSTITUTO DE EDUCACIÓN SECUNDARIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,IES PARE VITÒRIA,IES PARE VITÒRIA,PÚB.,AVINGUDA,DE ELCHE,15,3801,ALCOI,ALICANTE/ALACANT,966528115,,1,-0.475878,38.687524,GENERALITAT VALENCIANA,Q5355169C,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000394,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000394
13,3000400,INSTITUTO DE EDUCACIÓN SECUNDARIA,INSTITUT D'EDUCACIÓ SECUNDÀRIA,IES COTES BAIXES,IES COTES BAIXES,PÚB.,POLÍGON,COTES BAIXES,S/N,3804,ALCOI,ALICANTE/ALACANT,966528110,,1,-0.463346,38.713786,GENERALITAT VALENCIANA,Q5355168E,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000400,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000400
14,3000424,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT SALESIANOS JUAN XXIII,CENTRE PRIVAT SALESIANOS JUAN XXIII,PRIV. CONC.,CARRER,SAN JUAN BOSCO,37,3804,ALCOI,ALICANTE/ALACANT,965332640,965523197,1,-0.462327,38.708595,PRIVADA.,R0300264I,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000424,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000424
15,3000448,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT LA SALLE,CENTRE PRIVAT LA SALLE,PRIV. CONC.,CARRETERA,CHORRADOR,1,3803,ALCOI,ALICANTE/ALACANT,966540010,966526412,1,-0.478487,38.707147,PRIVADA.,R0300266D,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000448,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000448
16,3000451,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,CENTRE PRIV. ED. INFANTIL EL SALVADOR,CENTRE PRIV. ED. INFANTIL EL SALVADOR,PRIV.,CARRER,ENTENZA,78,3803,ALCOI,ALICANTE/ALACANT,965336867,965336867,1,-0.477031,38.703978,PRIVADA.,R0300353J,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000451,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000451
17,3000473,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT SANT ROC,CENTRE PRIVAT SANT ROC,PRIV. CONC.,CARRER,ESPRONCEDA,1,3803,ALCOI,ALICANTE/ALACANT,965331560,966331836,1,-0.481553,38.698557,PRIVADA.,R0300049D,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000473,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000473
18,3000485,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA","CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",CENTRE PRIVAT SAN VICENTE FERRER,CENTRE PRIVAT SAN VICENTE FERRER,PRIV. CONC.,PLAÇA,MOSSÉN JOSEP,1,3801,ALCOI,ALICANTE/ALACANT,965540866,965546063,1,-0.47606,38.693842,PRIVADA.,R0300265F,L'ALCOIÀ,https://www.ceice.gva.es/web/centros-docentes/ficha-centro?codi=03000485,https://www.ceice.gva.es/va/web/centros-docentes/ficha-centro?codi=03000485
